"Position date","Change Position Date",Issuer,ISIN,"Position holder","Net short position"
22/04/2021,05/05/2021,SOLVAY,BE0003470755,"Millenium International Management LP","0,50"
22/04/2021,26/04/2021,EURONAV,BE0003816338,"WorldQuant, LLC","1,30"
21/04/2021,23/04/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,58"
20/04/2021,04/05/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,59"
19/04/2021,21/04/2021,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,69"
19/04/2021,22/04/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,82"
16/04/2021,23/04/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","0,98"
16/04/2021,22/04/2021,EURONAV,BE0003816338,"WorldQuant, LLC","1,22"
16/04/2021,07/05/2021,EURONAV,BE0003816338,"PDT Partners, LLC","0,69"
16/04/2021,19/04/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,71"
15/04/2021,16/04/2021,"MITHRA PHARMACEUTICALS",BE0974283153,"HIGHBRIDGE CAPITAL MANAGEMENT, LLC","1,60"
14/04/2021,20/04/2021,EURONAV,BE0003816338,"CITADEL ADVISORS LLC","0,69"
14/04/2021,16/04/2021,"AGFA GEVAERT",BE0003755692,"Cadian Capital Management, LLC","1,09"
14/04/2021,16/04/2021,EURONAV,BE0003816338,"WorldQuant, LLC","1,10"
13/04/2021,14/04/2021,EURONAV,BE0003816338,"WorldQuant, LLC","1,08"
