"Innehavare av positionen 
(Position holder)","Namn på emittent 
(Name of the issuer)",ISIN,Position i procent (Position in per cent),"Datum för positionen 
(Position date)",Kommentar (Comment)
D E Shaw Co LP,Embracer Group AB,SE0023615885,"0,69",2025-04-11,
Albar Capital LLP,Aktiebolaget Electrolux,SE0016589188,"0,57",2025-04-11,
FIL Investments International,New Wave Group AB,SE0020356970,"0,76",2025-04-10,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"0,77",2025-04-10,
Ennismore Fund Management Ltd,Fasadgruppen Group AB (publ),SE0015195771,"0,67",2025-04-10,
Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,"1,46",2025-04-10,
Systematica Investments Limited,Aktiebolaget Electrolux,SE0016589188,"0,67",2025-04-10,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,74",2025-04-10,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,17",2025-04-10,
ALCUR FONDER AB,Instalco AB,SE0017483506,"0,9",2025-04-10,
Yiheng Capital Management LP,Truecaller AB,SE0016787071,"1,78",2025-04-10,
JPMorgan Asset Management (UK) Ltd,Yubico AB,SE0015657788,"0,8",2025-04-09,
JPMorgan Asset Management (UK) Ltd,NCAB Group AB (publ),SE0017160773,"1,23",2025-04-09,
JPMorgan Asset Management (UK) Ltd,Aktiebolaget Electrolux,SE0016589188,"0,76",2025-04-09,
Balyasny Asset Management (UK) LLP,Elekta AB (publ),SE0000163628,"0,72",2025-04-09,
Marshall Wace LLP,Embracer Group AB,SE0023615885,"0,7",2025-04-09,
WORLDQUANT LLC,Hansa Biopharma AB,SE0002148817,"0,58",2025-04-09,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,21",2025-04-09,
SIH Partners LLLP,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-04-09,
GSA Capital Partners LLP,Xbrane Biopharma AB,SE0007789409,"0,79",2025-04-09,
Qube Research & Technologies Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"<0,5",2025-04-09,
ALCUR FONDER AB,JM AB,SE0000806994,"<0,5",2025-04-09,
AAT Invest AS,Rusta AB (publ),SE0020848356,"<0,5",2025-04-09,
JPMorgan Asset Management (UK) Ltd,Mips AB,SE0009216278,"0,8",2025-04-08,
Marshall Wace LLP,Embracer Group AB,SE0023615885,"0,66",2025-04-08,
Systematica Investments Limited,Kinnevik AB,SE0022060521,"0,57",2025-04-08,
D E Shaw Co LP,Embracer Group AB,SE0023615885,"0,7",2025-04-08,
AHL Partners LLP,Axfood AB,SE0006993770,"<0,5",2025-04-08,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,"0,92",2025-04-08,
ALCUR FONDER AB,Instalco AB,SE0017483506,"1,41",2025-04-08,
Samlyn Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"4,48",2025-04-08,
JPMorgan Asset Management (UK) Ltd,Xvivo Perfusion Aktiebolag,SE0004840718,"0,67",2025-04-07,
JPMorgan Asset Management (UK) Ltd,Mips AB,SE0009216278,"0,76",2025-04-07,
GREENVALE CAPITAL LLP,Evolution AB (publ),SE0012673267,"0,56",2025-04-07,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"0,8",2025-04-07,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,"0,59",2025-04-07,
AKO Capital LLP,Beijer Ref AB (publ),SE0015949748,"<0,5",2025-04-07,
Millennium Capital (DIFC) Limited,Boliden AB,SE0020050417,"<0,5",2025-04-07,
Connor Clark & Lunn Investment Management Ltd.,Hexatronic Group AB,SE0018040677,"0,51",2025-04-07,
AHL Partners LLP,Axfood AB,SE0006993770,"0,5",2025-04-07,
Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,"1,5",2025-04-07,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,89",2025-04-07,
Marshall Wace LLP,Securitas AB,SE0000163594,"0,5",2025-04-07,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"<0,5",2025-04-07,
Voleon Capital Management LP,Sinch AB (publ),SE0016101844,"0,61",2025-04-07,
Marshall Wace LLP,Evolution AB (publ),SE0012673267,"<0,5",2025-04-07,
ActusRayPartners Limited,Sedana Medical AB (publ),SE0015988373,"0,68",2025-04-07,
Argonaut Capital Partners LLP,Hexatronic Group AB,SE0018040677,"0,57",2025-04-07,
AHL Partners LLP,Kinnevik AB,SE0022060521,"0,53",2025-04-04,
JPMorgan Asset Management (UK) Ltd,Xvivo Perfusion Aktiebolag,SE0004840718,"0,55",2025-04-04,
Marble Bar Asset Management LLP,Mips AB,SE0009216278,"0,56",2025-04-04,
JPMorgan Asset Management (UK) Ltd,Mips AB,SE0009216278,"0,64",2025-04-04,
Balyasny Asset Management (UK) LLP,Elekta AB (publ),SE0000163628,"0,62",2025-04-04,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"0,76",2025-04-04,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"0,7",2025-04-04,
Marshall Wace LLP,Embracer Group AB,SE0023615885,"0,55",2025-04-04,
Millennium Capital (DIFC) Limited,Boliden AB,SE0020050417,"0,5",2025-04-04,
ELEVA CAPITAL S.A.S,Husqvarna AB,SE0001662230,"<0,5",2025-04-04,
AKO Capital LLP,Husqvarna AB,SE0001662230,"0,68",2025-04-04,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,1",2025-04-04,
Wellington Management International Limited,Fabege AB,SE0011166974,"<0,5",2025-04-04,
Wellington Management International Limited,Mips AB,SE0009216278,"<0,5",2025-04-04,
ALCUR FONDER AB,JM AB,SE0000806994,"0,51",2025-04-04,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,"0,84",2025-04-04,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,93",2025-04-04,
ALCUR FONDER AB,Instalco AB,SE0017483506,"1,32",2025-04-04,
Samlyn Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"4,57",2025-04-04,
Albar Capital LLP,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-04-04,
JPMorgan Asset Management (UK) Ltd,HMS Networks AB,SE0009997018,"0,79",2025-04-03,
Qube Research & Technologies Limited,Asmodee Group AB,SE0023615638,"<0,5",2025-04-03,
Qube Research & Technologies Limited,Better Collective A/S,DK0060952240,"<0,5",2025-04-03,
Qube Research & Technologies Limited,NOTE AB (publ),SE0001161654,"<0,5",2025-04-03,
SIH Partners LLLP,Aktiebolaget Electrolux,SE0016589188,"0,51",2025-04-03,
Qube Research & Technologies Limited,Hexatronic Group AB,SE0018040677,"<0,5",2025-04-03,
Qube Research & Technologies Limited,BioArctic AB,SE0010323311,"<0,5",2025-04-03,
Qube Research & Technologies Limited,Embracer Group AB,SE0023615885,"<0,5",2025-04-03,
Qube Research & Technologies Limited,Stillfront Group AB (publ),SE0015346135,"<0,5",2025-04-03,
Qube Research & Technologies Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,5",2025-04-03,
ALCUR FONDER AB,JM AB,SE0000806994,"<0,5",2025-04-03,
Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,"1,45",2025-04-03,
AKO Capital LLP,Husqvarna AB,SE0001662230,"0,74",2025-04-03,
Balyasny Asset Management (UK) LLP,Elekta AB (publ),SE0000163628,"0,53",2025-04-03,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,08",2025-04-03,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"0,8",2025-04-03,
Voleon Capital Management LP,Sinch AB (publ),SE0016101844,"0,53",2025-04-03,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"0,87",2025-04-03,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Castellum Aktiebolag,SE0000379190,"0,68",2025-04-03,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,"0,68",2025-04-03,
 Millennium Capital Partners LLP ,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-04-03,
ALCUR FONDER AB,Instalco AB,SE0017483506,"1,28",2025-04-03,
GSA Capital Partners LLP,Xbrane Biopharma AB,SE0007789409,"0,88",2025-04-03,
ELEVA CAPITAL S.A.S,Aktiebolaget Electrolux,SE0016589188,"1,12",2025-04-03,
ActusRayPartners Limited,Nobia AB,SE0000949331,"0,81",2025-04-03,
JPMorgan Asset Management (UK) Ltd,Lindab International AB,SE0001852419,"1,13",2025-04-02,
GREENVALE CAPITAL LLP,Evolution AB (publ),SE0012673267,"0,66",2025-04-02,
Qube Research & Technologies Limited,Embracer Group AB,SE0023615885,"1,7",2025-04-02,
Qube Research & Technologies Limited,Surgical Science Sweden AB,SE0014428512,"0,8",2025-04-02,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Castellum Aktiebolag,SE0000379190,"0,7",2025-04-02,
 Millennium Capital Partners LLP ,Aktiebolaget Electrolux,SE0016589188,"0,51",2025-04-02,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"0,99",2025-04-02,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,8",2025-04-02,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,11",2025-04-02,
Marshall Wace LLP,Evolution AB (publ),SE0012673267,"0,58",2025-04-02,
ALCUR FONDER AB,JM AB,SE0000806994,"0,53",2025-04-02,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,"0,73",2025-04-02,
ALCUR FONDER AB,Instalco AB,SE0017483506,"1,3",2025-04-02,
Voleon Capital Management LP,Sinch AB (publ),SE0016101844,"<0,5",2025-04-02,
Walleye Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,71",2025-04-02,
Albar Capital LLP,Aktiebolaget Electrolux,SE0016589188,"0,51",2025-04-02,
WORLDQUANT LLC,Hansa Biopharma AB,SE0002148817,"0,68",2025-04-01,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,79",2025-04-01,
 Millennium Capital Partners LLP ,Aktiebolaget Electrolux,SE0016589188,"<0,5",2025-04-01,
Wellington Management International Limited,JM AB,SE0000806994,"<0,5",2025-04-01,
ALCUR FONDER AB,Munters Group AB,SE0009806607,"<0,5",2025-04-01,
ALCUR FONDER AB,JM AB,SE0000806994,"0,66",2025-04-01,
Brummer Multi-Strategy AB,KAMBI GROUP PLC,MT0000780107,"<0,5",2025-04-01,
ActusRayPartners Limited,Sedana Medical AB (publ),SE0015988373,"0,53",2025-04-01,
Connor Clark & Lunn Investment Management Ltd.,Fasadgruppen Group AB (publ),SE0015195771,"0,6",2025-04-01,
Acadian Asset Management LLC,Hexatronic Group AB,SE0018040677,"0,5",2025-03-31,
JPMorgan Asset Management (UK) Ltd,JM AB,SE0000806994,"0,7",2025-03-31,
JPMorgan Asset Management (UK) Ltd,Fortnox Aktiebolag,SE0017161243,"<0,5",2025-03-31,
Parvus Asset Management Europe Limited,SECTRA Aktiebolag,SE0022419784,"<0,5",2025-03-31,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"1,07",2025-03-31,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,"0,78",2025-03-31,
ALCUR FONDER AB,JM AB,SE0000806994,"1,22",2025-03-31,
Qube Research & Technologies Limited,Stillfront Group AB (publ),SE0015346135,"1,5",2025-03-31,
Qube Research & Technologies Limited,Powercell Sweden AB (publ),SE0006425815,"<0,5",2025-03-31,
Ilex Capital Partners (UK) LLP,H & M Hennes & Mauritz AB,SE0000106270,"<0,5",2025-03-28,
Davidson Kempner European Partners LLP,JM AB,SE0000806994,"<0,5",2025-03-28,
ALCUR FONDER AB,Munters Group AB,SE0009806607,"0,56",2025-03-28,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,"0,6",2025-03-28,
ALCUR FONDER AB,JM AB,SE0000806994,"1,31",2025-03-28,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"1,06",2025-03-28,
Marshall Wace LLP,Evolution AB (publ),SE0012673267,"0,68",2025-03-28,
Qube Research & Technologies Limited,Embracer Group AB,SE0023615885,"1,6",2025-03-28,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,8",2025-03-28,
Ilex Capital Partners (UK) LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,55",2025-03-27,
Citadel Advisors LLC,Swedish Orphan Biovitrum AB (publ),SE0000872095,"0,67",2025-03-27,
Davidson Kempner European Partners LLP,JM AB,SE0000806994,"0,51",2025-03-27,
Arrowstreet Capital Limited Partnership,Sdiptech AB (publ),SE0003756758,"0,9",2025-03-27,
JPMorgan Asset Management (UK) Ltd,JM AB,SE0000806994,"0,62",2025-03-27,
GSA Capital Partners LLP,Xbrane Biopharma AB,SE0007789409,"0,99",2025-03-27,
BlackRock Investment Management (UK) Limited,Volvo Car AB,SE0021628898,"1,36",2025-03-27,
BlackRock Investment Management (UK) Limited,H & M Hennes & Mauritz AB,SE0000106270,"0,65",2025-03-27,
AQR Capital Management LLC,Aktiebolaget SKF,SE0000108227,"0,5",2025-03-27,
Qube Research & Technologies Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"<0,5",2025-03-27,
Qube Research & Technologies Limited,BioArctic AB,SE0010323311,"1,78",2025-03-27,
ALCUR FONDER AB,Troax Group AB (publ),SE0012729366,"0,59",2025-03-27,
ALCUR FONDER AB,Instalco AB,SE0017483506,"1,27",2025-03-27,
ALCUR FONDER AB,JM AB,SE0000806994,"1,72",2025-03-27,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,"0,88",2025-03-26,
GSA Capital Partners LLP,Tobii AB,SE0002591420,"0,71",2025-03-26,
JPMorgan Asset Management (UK) Ltd,JM AB,SE0000806994,"0,59",2025-03-26,
Wellington Management Company LLP,Wihlborgs Fastigheter AB,SE0018012635,"<0,5",2025-03-26,
Systematica Investments Limited,Kinnevik AB,SE0022060521,"0,6",2025-03-26,
AKO Capital LLP,Beijer Ref AB (publ),SE0015949748,"0,56",2025-03-26,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,71",2025-03-26,
Qube Research & Technologies Limited,Hexatronic Group AB,SE0018040677,"1,39",2025-03-26,
PSquared Asset Management AG,Yubico AB,SE0015657788,"<0,5",2025-03-26,
ALCUR FONDER AB,JM AB,SE0000806994,"1,85",2025-03-26,
Albar Capital LLP,Aktiebolaget Electrolux,SE0016589188,"0,69",2025-03-26,
JPMorgan Asset Management (UK) Ltd,Yubico AB,SE0015657788,"0,7",2025-03-25,
Arrowstreet Capital Limited Partnership,Fabege AB,SE0011166974,"0,5",2025-03-25,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Alleima AB,SE0017615644,"0,52",2025-03-25,
D E Shaw Co LP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,01",2025-03-25,
Qube Research & Technologies Limited,BioArctic AB,SE0010323311,"1,81",2025-03-25,
Qube Research & Technologies Limited,Embracer Group AB,SE0023615885,"1,51",2025-03-25,
Qube Research & Technologies Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,52",2025-03-25,
Albar Capital LLP,Aktiebolaget Electrolux,SE0016589188,"0,74",2025-03-25,
Qube Research & Technologies Limited,Hexatronic Group AB,SE0018040677,"1,48",2025-03-24,
Ilex Capital Partners (UK) LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,81",2025-03-24,
Balyasny Asset Management (UK) LLP,Elekta AB (publ),SE0000163628,"<0,5",2025-03-24,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Camurus AB,SE0007692850,"0,5",2025-03-24,
Citadel Advisors LLC,Fasadgruppen Group AB (publ),SE0015195771,"0,7",2025-03-24,
Marshall Wace LLP,Evolution AB (publ),SE0012673267,"0,78",2025-03-24,
Qube Research & Technologies Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"<0,5",2025-03-24,
Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,"1,5",2025-03-24,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,69",2025-03-24,
Wellington Management International Limited,Mips AB,SE0009216278,"0,5",2025-03-24,
ALCUR FONDER AB,JM AB,SE0000806994,"1,76",2025-03-24,
Walleye Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,6",2025-03-24,
Argonaut Capital Partners LLP,Hexatronic Group AB,SE0018040677,"0,54",2025-03-24,
JPMorgan Asset Management (UK) Ltd,NCAB Group AB (publ),SE0017160773,"1,31",2025-03-21,
Arrowstreet Capital Limited Partnership,Castellum Aktiebolag,SE0000379190,"0,6",2025-03-21,
Qube Research & Technologies Limited,Embracer Group AB,SE0023615885,"1,44",2025-03-21,
Qube Research & Technologies Limited,Stillfront Group AB (publ),SE0015346135,"1,42",2025-03-21,
Qube Research & Technologies Limited,NOTE AB (publ),SE0001161654,"0,79",2025-03-21,
GSA Capital Partners LLP,Xbrane Biopharma AB,SE0007789409,"1,08",2025-03-21,
Qube Research & Technologies Limited,Better Collective A/S,DK0060952240,"0,71",2025-03-21,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,7",2025-03-21,
Qube Research & Technologies Limited,Cint Group AB (publ),SE0015483276,"<0,5",2025-03-21,
WORLDQUANT LLC,Hansa Biopharma AB,SE0002148817,"0,79",2025-03-21,
Hengistbury Investment Partners LLP,Avanza Bank Holding AB,SE0012454072,"<0,5",2025-03-21,
AQR Capital Management LLC,Securitas AB,SE0000163594,"<0,5",2025-03-21,
 Millennium Capital Partners LLP ,Aktiebolaget Electrolux,SE0016589188,"0,5",2025-03-21,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,89",2025-03-21,
Voleon Capital Management LP,Sinch AB (publ),SE0016101844,"0,5",2025-03-21,
ELEVA CAPITAL S.A.S,Aktiebolaget Electrolux,SE0016589188,"1,31",2025-03-21,
ELEVA CAPITAL S.A.S,Yubico AB,SE0015657788,"0,6",2025-03-21,
ELEVA CAPITAL S.A.S,Husqvarna AB,SE0001662230,"0,52",2025-03-21,
GREENVALE CAPITAL LLP,Evolution AB (publ),SE0012673267,"0,7",2025-03-20,
Qube Research & Technologies Limited,Cint Group AB (publ),SE0015483276,"0,5",2025-03-20,
Qube Research & Technologies Limited,Hexatronic Group AB,SE0018040677,"1,51",2025-03-20,
Qube Research & Technologies Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,58",2025-03-20,
Qube Research & Technologies Limited,Lindab International AB,SE0001852419,"0,51",2025-03-20,
WORLDQUANT LLC,Fasadgruppen Group AB (publ),SE0015195771,"<0,5",2025-03-20,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,9",2025-03-20,
ALCUR FONDER AB,JM AB,SE0000806994,"1,55",2025-03-20,
Marshall Wace LLP,Evolution AB (publ),SE0012673267,"0,87",2025-03-19,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,"0,9",2025-03-19,
Qube Research & Technologies Limited,NOTE AB (publ),SE0001161654,"0,8",2025-03-19,
Qube Research & Technologies Limited,Surgical Science Sweden AB,SE0014428512,"0,72",2025-03-19,
Qube Research & Technologies Limited,Embracer Group AB,SE0023615885,"1,12",2025-03-19,
ALCUR FONDER AB,JM AB,SE0000806994,"1,49",2025-03-19,
ActusRayPartners Limited,Sedana Medical AB (publ),SE0015988373,"0,61",2025-03-19,
Arrowstreet Capital Limited Partnership,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"2,31",2025-03-18,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,89",2025-03-18,
D E Shaw Co LP,Embracer Group AB,SE0023615885,"0,6",2025-03-18,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"0,69",2025-03-18,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"1,1",2025-03-18,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Castellum Aktiebolag,SE0000379190,"0,6",2025-03-18,
ELEVA CAPITAL S.A.S,Elekta AB (publ),SE0000163628,"0,69",2025-03-18,
Walleye Capital LLC,Cint Group AB (publ),SE0015483276,"<0,5",2025-03-18,
Argonaut Capital Partners LLP,Hexatronic Group AB,SE0018040677,"0,52",2025-03-18,
JPMorgan Asset Management (UK) Ltd,CoinShares International Ltd,JE00BLD8Y945,"0,76",2025-03-17,
Arrowstreet Capital Limited Partnership,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"2,23",2025-03-17,
Arrowstreet Capital Limited Partnership,Fastighets AB Balder,SE0017832488,"0,5",2025-03-17,
Canada Pension Plan Investment Board,NIBE Industrier AB,SE0015988019,"1,09",2025-03-17,
Citadel Advisors LLC,Swedish Orphan Biovitrum AB (publ),SE0000872095,"0,71",2025-03-17,
Systematica Investments Limited,Aktiebolaget Electrolux,SE0016589188,"0,7",2025-03-17,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,9",2025-03-17,
AQR Capital Management LLC,JM AB,SE0000806994,"<0,5",2025-03-17,
Connor Clark & Lunn Investment Management Ltd.,Fasadgruppen Group AB (publ),SE0015195771,"0,5",2025-03-17,
Qube Research & Technologies Limited,Powercell Sweden AB (publ),SE0006425815,"0,59",2025-03-17,
Qube Research & Technologies Limited,Cint Group AB (publ),SE0015483276,"<0,5",2025-03-17,
Arrowstreet Capital Limited Partnership,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"2,18",2025-03-14,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,89",2025-03-14,
Qube Research & Technologies Limited,Hexatronic Group AB,SE0018040677,"1,48",2025-03-14,
Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,"1,4",2025-03-14,
Qube Research & Technologies Limited,Surgical Science Sweden AB,SE0014428512,"0,69",2025-03-14,
Qube Research & Technologies Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,61",2025-03-14,
Gladstone Capital Management LLP,Elekta AB (publ),SE0000163628,"0,9",2025-03-14,
Boldhaven Management LLP,Sdiptech AB (publ),SE0003756758,"<0,5",2025-03-14,
Ilex Capital Partners (UK) LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,71",2025-03-13,
ALCUR FONDER AB,JM AB,SE0000806994,"1,32",2025-03-13,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,9",2025-03-13,
Marshall Wace LLP,Evolution AB (publ),SE0012673267,"0,99",2025-03-13,
Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,"0,66",2025-03-13,
Walleye Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,5",2025-03-13,
Boldhaven Management LLP,Sdiptech AB (publ),SE0003756758,"0,88",2025-03-13,
GREENVALE CAPITAL LLP,Evolution AB (publ),SE0012673267,"0,68",2025-03-12,
WORLDQUANT LLC,Cibus Nordic Real Estate AB (publ),SE0010832204,"0,5",2025-03-12,
Arrowstreet Capital Limited Partnership,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,2,2025-03-12,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"1,02",2025-03-12,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,"0,81",2025-03-12,
Capital Fund Management SA,Embracer Group AB,SE0023615885,"<0,5",2025-03-12,
Qube Research & Technologies Limited,Hexatronic Group AB,SE0018040677,"1,51",2025-03-12,
Qube Research & Technologies Limited,Embracer Group AB,SE0023615885,1,2025-03-12,
