Position Holder:,Name of the Issuer:,ISIN:,Net short position %:,Position Date:
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.40%,2023-11-20
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.10%,2023-11-16
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.48%,2023-11-13
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.51%,2023-11-10
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.46%,2023-11-08
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.51%,2023-11-07
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.31%,2023-11-06
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.09%,2023-11-01
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.20%,2023-10-26
Alpine Associates Management Inc,Smurfit Kappa Group PLC,IE00B1RR8406,0.72%,2023-10-23
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.98%,2023-10-23
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.10%,2023-10-23
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.46%,2023-10-20
Qube Research & Technologies Limited,Smurfit Kappa Group PLC,IE00B1RR8406,0.51%,2023-10-18
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,1.00%,2023-10-12
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,0.98%,2023-10-11
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,1.04%,2023-10-11
Alpine Associates Management Inc,Smurfit Kappa Group PLC,IE00B1RR8406,0.61%,2023-10-09
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.91%,2023-10-09
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,0.83%,2023-10-06
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.87%,2023-10-06
Magnetar Capital Partners LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.72%,2023-10-05
"Davidson Kempner European Partners, LLP",Smurfit Kappa Group PLC,IE00B1RR8406,0.73%,2023-10-05
